"","nmajor","major1","major2","BBRJ","Business Direct Admit","Combined Bacc and Masters","Dean's List","First Generation College Stdnt","FSB Scholars","Honors Program","President's List","Study Abroad Courtesy Account","Transfer Work (Pre-Banner)","Cum Laude","Magna Cum Laude","Summa Cum Laude","University Honors","UniversityHonors w/Distinction","minor1","minor2","IPEDS.Race.Ethnicity","Gender","GPA.Range","Term.Code","year.x","latin_honors","survey_city","survey_company","survey_deptfunc","survey_gradprogram","survey_gradschool","survey_internfour","survey_internone","survey_internships","survey_internthree","survey_interntwo","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","survey_state"
"1",1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Business Legal Studies","No Minor","White","Male","3.00 - 3.49",201920,"2019","0","TOLEDO","OTHER","Finance",NA,NA,NA,NA,"0",NA,NA,"0","accepted fulltime job","Yes","Yes",61136.7951582868,"Ohio"
"2",1,"Marketing","none",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,"Humanities","Humanities","Asian","Female","3.50 - 4.00",202120,"2021","0","COLUMBUS","OTHER","General Management",NA,NA,NA,"Second Time Founders","2",NA,"La Soupe","1","accepted fulltime job","Yes","Yes",40000,"OH"
"3",1,"Finance","none",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Accountancy","Accountancy","White","Male","3.00 - 3.49",202020,"2020","0","OTHER","PWC",NA,NA,NA,NA,"Bauer Hockey","2",NA,"IHS Markit",NA,"accepted fulltime job","Missing","Missing",61136.7951582868,"Missing"
"4",1,"Marketing","none",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Supply Chain Management","Supply Chain Management","White","Male","3.00 - 3.49",201920,"2019","0","COLUMBUS","ABERCROMBIE","General Management",NA,NA,NA,"Nouveau Vie, LLC.","2",NA,"Abercrombie & Fitch","1","accepted fulltime job","Yes","Yes",63500,"Ohio"
"5",1,"Marketing","none",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Humanities","Humanities","White","Female","3.00 - 3.49",202020,"2020","0","CLEVELAND","OTHER","Consulting Marketing / Sales Operations / Procurement",NA,NA,"Victoria's Secret","CNN / Turner Broadcasting","4","Oxford Medical Aesthetics and Laser","Hylant","4","accepted fulltime job","Yes","Yes",68000,"OH"
"6",1,"Finance","none",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Economics","No Minor","White","Female","3.50 - 4.00",201920,"2019","Cum Laude","CHICAGO","EY","Analytics
 Consulting",NA,NA,NA,"T. Marzetti","3","Ernst & Young","Whitehorn Partners","1","accepted fulltime job","Yes","Yes",58000,"Ohio / USA"
"7",1,"Accountancy","none",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"No Minor","No Minor","White","Male","3.50 - 4.00",202120,"2021","Cum Laude","CLEVELAND","EY","Accounting",NA,NA,NA,"TravelCenters of America (TA)","3","Ernst and Young (EY)","TravelCenters of America (TA)","1","accepted fulltime job","Yes","Yes",53000,"OH"
"8",1,"Finance","none",0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,"Accountancy","Accountancy","White","Female","3.50 - 4.00",201920,"2019","Summa Cum Laude","NEW YORK","JP MORGAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"accepted fulltime job","Yes","Yes",85000,"NY"
"9",1,"Supply Chain & Operations Mgmt","none",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202020,"2020","0","OTHER","TEXTRON","Operations / Procurement",NA,NA,NA,"Textron Specialized Vehicles","1",NA,NA,"1","accepted fulltime job","Yes","Yes",58000,"GA"
"10",1,"Accountancy","none",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","3.00 - 3.49",202120,"2021","0","CHICAGO","EY","Accounting",NA,NA,NA,"ITW Food Equitment Group","1",NA,NA,"1","accepted fulltime job","Yes","Yes",62000,"IL"
"11",1,"Marketing","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Entrepreneurship","No Minor","White","Male","3.00 - 3.49",201920,"2019","0","LOS ANGELES","OTHER",NA,NA,NA,NA,NA,"2",NA,NA,"1","seeking employment","Missing","Missing",0,"CA"
"12",1,"Business Economics","none",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"Entrepreneurship","No Minor","Unknown","Female","3.50 - 4.00",202020,"2020","Cum Laude","OTHER","OTHER",NA,NA,NA,NA,"Inn at Bay Harbor, Marriott","2",NA,"Steelcase","1","seeking employment","Missing","Missing",0,"Missing"
"13",1,"Accountancy","none",0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,"No Minor","No Minor","Unknown","Female","3.50 - 4.00",202120,"2021","Cum Laude","CHICAGO","KPMG",NA,NA,NA,NA,"KPMG","1",NA,NA,"1","accepted fulltime job","Missing","Missing",59043.2557101449,"IL"
"14",1,"Marketing","none",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"No Minor","No Minor","White","Female","2.50 - 2.99",202030,"2020","0","OTHER","OTHER",NA,NA,NA,NA,"Dfr Solutions",NA,"Live Nation","Washington Nationals",NA,"accepted fulltime job","Missing","Missing",52290.0004842615,"NY"
"15",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Male","2.00 - 2.49",201920,"2019","0","OTHER","OTHER",NA,NA,NA,NA,"Shree Carpet and Textile Mahal Ind Pvt ltd","2",NA,"Antiquariat","1","seeking employment","Missing","Missing",0,"Missing"
"16",1,"Finance","none",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Interactive Media Studies","Interactive Media Studies","Black or African American","Male","3.00 - 3.49",201920,"2019","0","OTHER","TEXTRON","Accounting",NA,NA,NA,"Unilever","1",NA,NA,"1","accepted fulltime job","Yes","Yes",63000,"KS"
"17",1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",201920,"2019","0","NEW YORK","OTHER","Consulting",NA,NA,NA,NA,"0",NA,NA,"0","accepted fulltime job","Yes","Yes",61136.7951582868,"new york"
"18",1,"Accountancy","none",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202020,"2020","0","CHICAGO","DELOITTE",NA,"MAcc",NA,NA,"Deloitte","1",NA,NA,NA,"accepted fulltime job","Missing","Missing",62000,"IL"
"19",1,"Marketing","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","3.00 - 3.49",202020,"2020","0","MINNEAPOLIS","OTHER","Marketing / Sales",NA,NA,NA,"Smart Circle","1",NA,NA,"2","accepted fulltime job","Yes","Yes",50000,"MN"
"20",1,"Marketing","none",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","2.00 - 2.49",201920,"2019","0","OTHER","OTHER","Marketing / Sales",NA,NA,NA,"Cincinnati Reds","2",NA,"Miami University","2","accepted fulltime job","Yes","Yes",29000,"OH"
"21",1,"Marketing","none",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"No Minor","No Minor","White","Female","3.50 - 4.00",201920,"2019","Magna Cum Laude","CHICAGO","OTHER",NA,NA,NA,NA,"RMG Networks","3","Coldwell Banker","Petra Title LLC",NA,"accepted fulltime job","Missing","Missing",53000,"IL"
"22",1,"Management and Leadership","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Humanities","No Minor","White","Female","3.00 - 3.49",202020,"2020","0","OTHER","OTHER","Human Resources",NA,NA,NA,"VillageMD","2",NA,"VillageMD","1","accepted fulltime job","No","Yes",53000,"IL"
"23",1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202120,"2021","0","CHARLOTTE","OTHER","Finance",NA,NA,"Textron Systems","Wealth Advocate Group","4","WealthPlan Partners","John D. Brown, CPA, Inc.","1","accepted fulltime job","Yes","Yes",56000,"NC"
"24",1,"Human Capital Mgmt& Leadership","none",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Multi Racial","Female","3.00 - 3.49",202120,"2021","0","OTHER","OTHER",NA,NA,NA,NA,NA,"0",NA,NA,"0","seeking employment","Missing","Missing",0,"Missing"
"25",1,"Finance","none",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Business Analytics","Business Analytics","White","Male","3.00 - 3.49",201920,"2019","0","OTHER","OTHER",NA,NA,NA,NA,"M&T Bank","1",NA,NA,"1","accepted fulltime job","Yes","Missing",55000,"NY"
"26",1,"Finance","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202110,"2021","0","COLUMBUS","KPMG","Consulting",NA,NA,NA,"Timeless Frames","3","Fifth Third Bank","Platinum Financial Services","2","accepted fulltime job","Yes","Yes",60000,"OH"
"27",1,"Marketing","none",0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,"No Minor","No Minor","White","Female","3.50 - 4.00",202120,"2021","Magna Cum Laude","ATLANTA","OTHER",NA,NA,NA,"The Boston Consulting Group",NA,"2","2",NA,"2","accepted fulltime job","Yes","Yes",65000,"GA"
"28",1,"Finance","none",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Humanities","Humanities","White","Female","2.50 - 2.99",202110,"2021","0","OTHER","OTHER",NA,NA,NA,NA,"Fifth Third Bank","3","Timeless Frames","Platinum Financial Services",NA,"accepted fulltime job","Missing","Missing",45000,"KY"
"29",1,"Accountancy","none",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Humanities","Humanities","White","Female","3.00 - 3.49",202120,"2021","0","OTHER","RSM","Accounting",NA,NA,NA,"RSM","1",NA,NA,"1","accepted fulltime job","Yes","Yes",59000,"TX"
"30",1,"Accountancy","none",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"Marketing","No Minor","White","Female","3.50 - 4.00",201920,"2019","Magna Cum Laude","CLEVELAND","EY","Accounting",NA,NA,NA,"Ernst and Young, Assurance Intern","1",NA,NA,"1","accepted fulltime job","Yes","Yes",51000,"OH, USA"
